home_team,away_team,date,score_home,score_away,winner
Man United,Fulham,2024-08-16 19:00:00,1,0,1
Ipswich Town,Liverpool,2024-08-17 11:30:00,0,2,2
Arsenal,Wolverhampton,2024-08-17 14:00:00,2,0,1
Everton,Brighton Hove,2024-08-17 14:00:00,0,3,2
Newcastle,Southampton,2024-08-17 14:00:00,1,0,1
Nottingham,Bournemouth,2024-08-17 14:00:00,1,1,0
West Ham,Aston Villa,2024-08-17 16:30:00,1,2,2
Brentford,Crystal Palace,2024-08-18 13:00:00,2,1,1
Chelsea,Man City,2024-08-18 15:30:00,0,2,2
Leicester City,Tottenham,2024-08-19 19:00:00,1,1,0
Brighton Hove,Man United,2024-08-24 11:30:00,2,1,1
Crystal Palace,West Ham,2024-08-24 14:00:00,0,2,2
Fulham,Leicester City,2024-08-24 14:00:00,2,1,1
Man City,Ipswich Town,2024-08-24 14:00:00,4,1,1
Southampton,Nottingham,2024-08-24 14:00:00,0,1,2
Tottenham,Everton,2024-08-24 14:00:00,4,0,1
Aston Villa,Arsenal,2024-08-24 16:30:00,0,2,2
Bournemouth,Newcastle,2024-08-25 13:00:00,1,1,0
Wolverhampton,Chelsea,2024-08-25 13:00:00,2,6,2
Liverpool,Brentford,2024-08-25 15:30:00,2,0,1
Arsenal,Brighton Hove,2024-08-31 11:30:00,1,1,0
Brentford,Southampton,2024-08-31 14:00:00,3,1,1
Everton,Bournemouth,2024-08-31 14:00:00,2,3,2
Ipswich Town,Fulham,2024-08-31 14:00:00,1,1,0
Leicester City,Aston Villa,2024-08-31 14:00:00,1,2,2
Nottingham,Wolverhampton,2024-08-31 14:00:00,1,1,0
West Ham,Man City,2024-08-31 16:30:00,1,3,2
Chelsea,Crystal Palace,2024-09-01 12:30:00,1,1,0
Newcastle,Tottenham,2024-09-01 12:30:00,2,1,1
Man United,Liverpool,2024-09-01 15:00:00,0,3,2
Southampton,Man United,2024-09-14 11:30:00,0,3,2
Brighton Hove,Ipswich Town,2024-09-14 14:00:00,0,0,0
Crystal Palace,Leicester City,2024-09-14 14:00:00,2,2,0
Fulham,West Ham,2024-09-14 14:00:00,1,1,0
Liverpool,Nottingham,2024-09-14 14:00:00,0,1,2
Man City,Brentford,2024-09-14 14:00:00,2,1,1
Aston Villa,Everton,2024-09-14 16:30:00,3,2,1
Bournemouth,Chelsea,2024-09-14 19:00:00,0,1,2
Tottenham,Arsenal,2024-09-15 13:00:00,0,1,2
Wolverhampton,Newcastle,2024-09-15 15:30:00,1,2,2
West Ham,Chelsea,2024-09-21 11:30:00,0,3,2
Aston Villa,Wolverhampton,2024-09-21 14:00:00,3,1,1
Fulham,Newcastle,2024-09-21 14:00:00,3,1,1
Leicester City,Everton,2024-09-21 14:00:00,1,1,0
Liverpool,Bournemouth,2024-09-21 14:00:00,3,0,1
Southampton,Ipswich Town,2024-09-21 14:00:00,1,1,0
Tottenham,Brentford,2024-09-21 14:00:00,3,1,1
Crystal Palace,Man United,2024-09-21 16:30:00,0,0,0
Brighton Hove,Nottingham,2024-09-22 13:00:00,2,2,0
Man City,Arsenal,2024-09-22 15:30:00,2,2,0
