home_team,away_team,date,score_home,score_away,winner
Burnley,Man City,2023-08-11 19:00:00,0,3,2
Arsenal,Nottingham,2023-08-12 12:00:00,2,1,1
Bournemouth,West Ham,2023-08-12 14:00:00,1,1,0
Brighton Hove,Luton Town,2023-08-12 14:00:00,4,1,1
Everton,Fulham,2023-08-12 14:00:00,0,1,2
Sheffield Utd,Crystal Palace,2023-08-12 14:00:00,0,1,2
Newcastle,Aston Villa,2023-08-12 16:30:00,5,1,1
Brentford,Tottenham,2023-08-13 13:00:00,2,2,0
Chelsea,Liverpool,2023-08-13 15:30:00,1,1,0
Man United,Wolverhampton,2023-08-14 19:00:00,1,0,1
Nottingham,Sheffield Utd,2023-08-18 18:45:00,2,1,1
Fulham,Brentford,2023-08-19 14:00:00,0,3,2
Liverpool,Bournemouth,2023-08-19 14:00:00,3,1,1
Wolverhampton,Brighton Hove,2023-08-19 14:00:00,1,4,2
Tottenham,Man United,2023-08-19 16:30:00,2,0,1
Man City,Newcastle,2023-08-19 19:00:00,1,0,1
Aston Villa,Everton,2023-08-20 13:00:00,4,0,1
West Ham,Chelsea,2023-08-20 15:30:00,3,1,1
Crystal Palace,Arsenal,2023-08-21 19:00:00,0,1,2
Chelsea,Luton Town,2023-08-25 19:00:00,3,0,1
Bournemouth,Tottenham,2023-08-26 11:30:00,0,2,2
Everton,Wolverhampton,2023-08-26 14:00:00,0,1,2
Man United,Nottingham,2023-08-26 14:00:00,3,2,1
Arsenal,Fulham,2023-08-26 14:00:00,2,2,0
Brentford,Crystal Palace,2023-08-26 14:00:00,1,1,0
Brighton Hove,West Ham,2023-08-26 16:30:00,1,3,2
Sheffield Utd,Man City,2023-08-27 13:00:00,1,2,2
Burnley,Aston Villa,2023-08-27 13:00:00,1,3,2
Newcastle,Liverpool,2023-08-27 15:30:00,1,2,2
Luton Town,West Ham,2023-09-01 19:00:00,1,2,2
Sheffield Utd,Everton,2023-09-02 11:30:00,2,2,0
Brentford,Bournemouth,2023-09-02 14:00:00,2,2,0
Burnley,Tottenham,2023-09-02 14:00:00,2,5,2
Chelsea,Nottingham,2023-09-02 14:00:00,0,1,2
Man City,Fulham,2023-09-02 14:00:00,5,1,1
Brighton Hove,Newcastle,2023-09-02 16:30:00,3,1,1
Crystal Palace,Wolverhampton,2023-09-03 13:00:00,3,2,1
Liverpool,Aston Villa,2023-09-03 13:00:00,3,0,1
