home_team,away_team,score_home,score_away,winner,weekday,month
13,8,1,0,1,4,8
9,11,0,2,2,5,8
0,19,2,0,1,5,8
7,4,0,3,2,5,8
14,16,1,0,1,5,8
15,2,1,1,0,5,8
18,1,1,2,2,5,8
3,6,2,1,1,6,8
5,12,0,2,2,6,8
10,17,1,1,0,0,8
4,13,2,1,1,5,8
6,18,0,2,2,5,8
8,10,2,1,1,5,8
12,9,4,1,1,5,8
16,15,0,1,2,5,8
17,7,4,0,1,5,8
1,0,0,2,2,5,8
2,14,1,1,0,6,8
19,5,2,6,2,6,8
11,3,2,0,1,6,8
0,4,1,1,0,5,8
3,16,3,1,1,5,8
7,2,2,3,2,5,8
9,8,1,1,0,5,8
10,1,1,2,2,5,8
15,19,1,1,0,5,8
18,12,1,3,2,5,8
5,6,1,1,0,6,9
14,17,2,1,1,6,9
13,11,0,3,2,6,9
16,13,0,3,2,5,9
4,9,0,0,0,5,9
6,10,2,2,0,5,9
8,18,1,1,0,5,9
11,15,0,1,2,5,9
12,3,2,1,1,5,9
1,7,3,2,1,5,9
2,5,0,1,2,5,9
17,0,0,1,2,6,9
19,14,1,2,2,6,9
18,5,0,3,2,5,9
1,19,3,1,1,5,9
8,14,3,1,1,5,9
10,7,1,1,0,5,9
11,2,3,0,1,5,9
16,9,1,1,0,5,9
17,3,3,1,1,5,9
6,13,0,0,0,5,9
4,15,2,2,0,6,9
12,0,2,2,0,6,9
14,12,1,1,0,5,9
0,10,4,2,1,5,9
3,18,1,1,0,5,9
5,4,4,2,1,5,9
7,6,2,1,1,5,9
15,8,0,1,2,5,9
19,11,1,2,2,5,9
9,1,2,2,0,6,9
13,17,0,3,2,6,9
2,16,3,1,1,0,9
6,11,0,1,2,5,10
0,16,3,1,1,5,10
3,19,5,3,1,5,10
10,2,1,0,1,5,10
12,8,3,2,1,5,10
18,9,4,1,1,5,10
7,14,0,0,0,5,10
1,13,0,0,0,6,10
5,15,1,1,0,6,10
4,17,3,2,1,6,10
17,18,4,1,1,5,10
8,1,1,3,2,5,10
9,7,0,2,2,5,10
13,3,2,1,1,5,10
14,4,0,1,2,5,10
16,10,2,3,2,5,10
2,0,2,0,1,5,10
19,12,1,2,2,6,10
11,5,2,1,1,6,10
15,6,1,0,1,0,10
10,15,1,3,2,4,10
1,2,1,1,0,5,10
3,9,4,3,1,5,10
4,19,2,2,0,5,10
12,16,1,0,1,5,10
7,8,1,1,0,5,10
5,14,2,1,1,6,10
6,17,1,0,1,6,10
18,13,2,1,1,6,10
0,11,2,2,0,6,10
14,0,1,0,1,5,11
2,12,2,1,1,5,11
9,10,1,1,0,5,11
11,4,2,1,1,5,11
15,18,3,0,1,5,11
16,7,1,0,1,5,11
19,6,2,2,0,5,11
17,1,4,1,1,6,11
13,5,1,1,0,6,11
8,3,2,1,1,0,11
3,2,3,2,1,5,11
6,8,0,2,2,5,11
18,7,0,0,0,5,11
19,16,2,0,1,5,11
4,12,2,1,1,5,11
11,1,2,0,1,5,11
13,10,3,0,1,6,11
15,14,1,3,2,6,11
17,9,1,2,2,6,11
5,0,1,1,0,6,11
10,5,1,2,2,5,11
2,4,1,2,2,5,11
0,15,3,0,1,5,11
1,6,2,2,0,5,11
7,3,0,0,0,5,11
8,19,1,4,2,5,11
12,17,0,4,2,5,11
16,11,2,3,2,6,11
9,13,1,1,0,6,11
14,18,0,2,2,0,11
4,16,1,1,0,4,11
3,10,4,1,1,5,11
6,14,1,1,0,5,11
15,9,1,0,1,5,11
19,2,2,4,2,5,11
18,0,2,5,2,5,11
5,1,3,0,1,6,12
13,7,4,0,1,6,12
17,8,1,1,0,6,12
11,12,2,0,1,6,12
9,6,0,1,2,1,12
10,18,3,1,1,1,12
7,19,4,0,1,2,12
12,15,3,0,1,2,12
14,11,3,3,0,2,12
16,5,1,5,2,2,12
0,13,2,0,1,2,12
1,3,3,1,1,2,12
8,4,3,1,1,3,12
2,17,1,0,1,3,12
1,16,1,0,1,5,12
3,14,4,2,1,5,12
6,12,2,2,0,5,12
13,15,2,3,2,5,12
8,0,1,1,0,6,12
9,2,1,2,2,6,12
10,4,2,2,0,6,12
17,5,3,4,2,6,12
18,19,2,1,1,0,12
0,7,0,0,0,5,12
11,8,2,2,0,5,12
14,10,4,0,1,5,12
19,9,1,2,2,5,12
15,1,2,1,1,5,12
4,6,1,3,2,6,12
12,13,1,2,2,6,12
5,3,2,1,1,6,12
16,17,0,5,2,6,12
2,18,1,1,0,0,12
1,12,2,1,1,5,12
3,15,0,2,2,5,12
9,14,0,4,2,5,12
18,4,1,1,0,5,12
6,0,1,5,2,5,12
7,5,0,0,0,6,12
8,16,0,0,0,6,12
10,19,0,3,2,6,12
13,2,0,3,2,6,12
17,11,3,6,2,6,12
12,7,1,1,0,3,12
2,6,0,0,0,3,12
5,8,1,2,2,3,12
14,1,3,0,1,3,12
15,17,1,0,1,3,12
16,18,0,1,2,3,12
19,13,2,0,1,3,12
11,10,3,1,1,3,12
4,3,0,0,0,4,12
0,9,1,0,1,4,12
10,12,0,2,2,6,12
6,16,2,1,1,6,12
7,15,0,2,2,6,12
8,2,2,2,0,6,12
17,19,2,2,0,6,12
18,11,0,5,2,6,12
1,4,2,2,0,0,12
9,5,2,0,1,0,12
13,14,0,2,2,0,12
3,0,1,3,2,2,1
17,14,1,2,2,5,1
16,3,0,5,2,5,1
6,5,1,1,0,5,1
2,7,1,0,1,5,1
1,10,2,1,1,5,1
12,18,4,1,1,5,1
4,0,1,1,0,5,1
8,9,2,2,0,6,1
11,13,2,2,0,6,1
19,15,0,3,2,0,1
18,8,3,2,1,1,1
3,12,2,2,0,1,1
5,2,2,2,0,1,1
15,11,1,1,0,1,1
7,1,0,1,2,2,1
10,6,0,2,2,2,1
14,19,3,0,1,2,1
0,17,2,1,1,2,1
9,4,0,2,2,3,1
13,16,3,1,1,3,1
14,2,1,4,2,5,1
18,6,0,2,2,5,1
10,8,0,2,2,5,1
3,11,0,2,2,5,1
0,1,2,2,0,5,1
13,4,1,3,2,6,1
15,16,3,2,1,6,1
7,17,3,2,1,6,1
9,12,0,6,2,6,1
5,19,3,1,1,0,1
11,9,4,1,1,5,1
19,0,0,1,2,5,1
4,7,0,1,2,5,1
16,14,1,3,2,5,1
2,15,5,0,1,5,1
12,5,3,1,1,5,1
6,3,1,2,2,6,1
17,10,1,2,2,6,1
1,18,1,1,0,6,1
8,13,0,1,2,6,1
15,4,7,0,1,5,2
14,8,1,2,2,5,2
7,10,4,0,1,5,2
2,11,0,2,2,5,2
9,16,1,2,2,5,2
19,1,2,0,1,5,2
13,6,0,2,2,6,2
3,17,0,2,2,6,2
0,12,5,1,1,6,2
5,18,2,1,1,0,2
7,11,2,2,0,2,2
4,5,3,0,1,4,2
10,0,0,2,2,5,2
16,2,1,3,2,5,2
18,3,0,1,2,5,2
1,9,1,1,0,5,2
12,14,4,0,1,5,2
8,15,2,1,1,5,2
6,7,1,2,2,5,2
11,19,2,1,1,6,2
17,13,1,0,1,6,2
1,11,2,2,0,2,2
10,3,0,4,2,4,2
7,13,2,2,0,5,2
9,17,1,4,2,5,2
8,6,0,2,2,5,2
0,18,0,1,2,5,2
2,19,0,1,2,5,2
16,4,0,4,2,5,2
1,5,2,1,1,5,2
14,15,4,3,1,6,2
12,11,0,2,2,6,2
4,2,2,1,1,1,2
6,1,4,1,1,1,2
19,8,1,2,2,1,2
5,16,4,0,1,1,2
15,0,0,0,0,2,2
3,7,1,1,0,2,2
17,12,0,1,2,2,2
13,9,3,2,1,2,2
11,14,2,0,1,2,2
18,10,2,0,1,3,2
15,12,1,0,1,5,3
4,8,2,1,1,5,3
6,9,1,0,1,5,3
11,16,3,1,1,5,3
3,1,0,1,2,5,3
19,7,1,1,0,5,3
17,2,2,2,0,6,3
5,10,1,0,1,6,3
13,0,1,1,0,6,3
18,14,0,1,2,0,3
7,18,1,1,0,5,3
9,15,2,4,2,5,3
12,4,2,2,0,5,3
16,19,1,2,2,5,3
2,3,1,2,2,5,3
0,5,1,0,1,6,3
8,17,2,0,1,6,3
10,13,0,3,2,6,3
0,8,2,1,1,1,4
19,18,1,0,1,1,4
15,13,1,0,1,1,4
2,9,1,2,2,2,4
4,1,0,3,2,2,4
12,10,2,0,1,2,4
14,3,2,1,1,2,4
16,6,1,1,0,2,4
11,7,1,0,1,2,4
5,17,1,0,1,3,4
7,0,1,1,0,5,4
6,4,2,1,1,5,4
9,19,1,2,2,5,4
18,2,2,2,0,5,4
1,15,2,1,1,5,4
3,5,0,0,0,6,4
8,11,3,2,1,6,4
17,16,3,1,1,6,4
13,12,0,0,0,6,4
10,14,0,3,2,0,4
12,6,5,2,1,5,4
4,10,2,2,0,5,4
15,7,0,1,2,5,4
16,1,0,3,2,5,4
0,3,1,1,0,5,4
5,9,2,2,0,6,4
11,18,2,1,1,6,4
19,17,4,2,1,6,4
14,13,4,1,1,6,4
2,8,1,0,1,0,4
14,6,5,0,1,2,4
3,4,4,2,1,5,4
6,2,0,0,0,5,4
7,12,0,2,2,5,4
18,16,1,1,0,5,4
1,14,4,1,1,5,4
8,5,1,2,2,6,4
9,0,0,4,2,6,4
13,19,0,1,2,6,4
10,11,0,1,2,6,4
